symbol,name,icon
PRU,Prudential Financial Inc,https://image-cdn.pluang.com/icons/light/global-stocks/pru.svg
GLW,Corning Incorporated,https://image-cdn.pluang.com/icons/light/global-stocks/glw.svg
HOOD,"Robinhood Markets, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/hood.svg
F,Ford Motor Company,https://image-cdn.pluang.com/icons/light/global-stocks/f.svg
XEL,Xcel Energy Inc,https://image-cdn.pluang.com/icons/light/global-stocks/xel.svg
KHC,Kraft Heinz Co,https://image-cdn.pluang.com/icons/light/global-stocks/khc.svg
ODFL,Old Dominion Freight Line Inc,https://image-cdn.pluang.com/icons/light/global-stocks/odfl.svg
RBLX,Roblox Corp,https://image-cdn.pluang.com/icons/light/global-stocks/rblx.svg
FIS,Fidelity National Information Servcs Inc,https://image-cdn.pluang.com/icons/light/global-stocks/fis.svg
DDOG,Datadog Inc,https://image-cdn.pluang.com/icons/light/global-stocks/ddog.svg
HSY,Hershey Co,https://image-cdn.pluang.com/icons/light/global-stocks/hsy.svg
SYY,SYSCO Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/syy.svg
XYZ,Block Inc,https://image-cdn.pluang.com/icons/light/global-stocks/xyz.svg
IT,Gartner Inc,https://image-cdn.pluang.com/icons/light/global-stocks/it.svg
ED,"Consolidated Edison, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/ed.svg
EA,Electronic Arts Inc.,https://image-cdn.pluang.com/icons/light/global-stocks/ea.svg
PWR,Quanta Services Inc,https://image-cdn.pluang.com/icons/light/global-stocks/pwr.svg
A,Agilent Technologies Inc,https://image-cdn.pluang.com/icons/light/global-stocks/a.svg
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC Common Stock",https://image-cdn.pluang.com/icons/light/global-stocks/ttwo.svg
GIS,"General Mills, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/gis.svg
IDXX,"IDEXX Laboratories, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/idxx.svg
DAL,"Delta Air Lines, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/dal.svg
RMD,ResMed Inc.,https://image-cdn.pluang.com/icons/light/global-stocks/rmd.svg
HUBS,HubSpot Inc,https://image-cdn.pluang.com/icons/light/global-stocks/hubs.svg
EXR,"Extra Space Storage, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/exr.svg
LEN,Lennar Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/len.svg
EBAY,eBay Inc,https://image-cdn.pluang.com/icons/light/global-stocks/ebay.svg
BIDU,Baidu Inc,https://image-cdn.pluang.com/icons/light/global-stocks/bidu.svg
DD,DuPont de Nemours Inc,https://image-cdn.pluang.com/icons/light/global-stocks/dd.svg
GOLD,Barrick Gold Corp,https://image-cdn.pluang.com/icons/light/global-stocks/gold.svg
LVS,Las Vegas Sands Corp.,https://image-cdn.pluang.com/icons/light/global-stocks/lvs.svg
TTD,Trade Desk Inc,https://image-cdn.pluang.com/icons/light/global-stocks/ttd.svg
WPM,Wheaton Precious Metals Corp,https://image-cdn.pluang.com/icons/light/global-stocks/wpm.svg
MCHP,Microchip Technology Inc.,https://image-cdn.pluang.com/icons/light/global-stocks/mchp.svg
ZS,Zscaler Inc,https://image-cdn.pluang.com/icons/light/global-stocks/zs.svg
XYL,"Xylem, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/xyl.svg
ALNY,"Alnylam Pharmaceuticals, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/alny.svg
HUM,Humana Inc,https://image-cdn.pluang.com/icons/light/global-stocks/hum.svg
ROK,Rockwell Automation,https://image-cdn.pluang.com/icons/light/global-stocks/rok.svg
NUE,Nucor Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/nue.svg
CAH,Cardinal Health Inc,https://image-cdn.pluang.com/icons/light/global-stocks/cah.svg
DXCM,"DexCom, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/dxcm.svg
LI,Li Auto Inc,https://image-cdn.pluang.com/icons/light/global-stocks/li.svg
TSCO,Tractor Supply Co,https://image-cdn.pluang.com/icons/light/global-stocks/tsco.svg
CNC,Centene Corp,https://image-cdn.pluang.com/icons/light/global-stocks/cnc.svg
LYV,"Live Nation Entertainment, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/lyv.svg
RJF,"Raymond James Financial, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/rjf.svg
MTB,M&T Bank Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/mtb.svg
HPQ,HP Inc,https://image-cdn.pluang.com/icons/light/global-stocks/hpq.svg
ANSS,"ANSYS, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/anss.svg
K,Kellogg Company,https://image-cdn.pluang.com/icons/light/global-stocks/k.svg
AWK,American Water Works Company Inc,https://image-cdn.pluang.com/icons/light/global-stocks/awk.svg
NOK,Nokia Corp,https://image-cdn.pluang.com/icons/light/global-stocks/nok.svg
CCL,Carnival Corp,https://image-cdn.pluang.com/icons/light/global-stocks/ccl.svg
CHD,"Church & Dwight Co., Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/chd.svg
UAL,United Airlines Holdings Inc,https://image-cdn.pluang.com/icons/light/global-stocks/ual.svg
KEYS,Keysight Technologies Inc,https://image-cdn.pluang.com/icons/light/global-stocks/keys.svg
DOW,Dow Inc,https://image-cdn.pluang.com/icons/light/global-stocks/dow.svg
EL,Estee Lauder Companies Inc,https://image-cdn.pluang.com/icons/light/global-stocks/el.svg
PPG,"PPG Industries, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/ppg.svg
BNTX,BioNTech SE - ADR,https://image-cdn.pluang.com/icons/light/global-stocks/bntx.svg
MT,ArcelorMittal SA,https://image-cdn.pluang.com/icons/light/global-stocks/mt.svg
DOV,Dover Corp,https://image-cdn.pluang.com/icons/light/global-stocks/dov.svg
PUK,Prudential PLC,https://image-cdn.pluang.com/icons/light/global-stocks/puk.svg
CVNA,Carvana Co,https://image-cdn.pluang.com/icons/light/global-stocks/cvna.svg
PHG,Koninklijke Philips NV,https://image-cdn.pluang.com/icons/light/global-stocks/phg.svg
NTR,Nutrien Ltd,https://image-cdn.pluang.com/icons/light/global-stocks/ntr.svg
LYB,LyondellBasell Industries NV,https://image-cdn.pluang.com/icons/light/global-stocks/lyb.svg
